customer_city,city_rank
sao paulo,1
rio de janeiro,2
belo horizonte,3
brasilia,4
curitiba,5
porto alegre,6
campinas,7
salvador,8
guarulhos,9
sao bernardo do campo,10
niteroi,11
santo andre,12
osasco,13
santos,14
goiania,15
sao jose dos campos,16
recife,17
fortaleza,18
sorocaba,19
florianopolis,20
jundiai,21
ribeirao preto,22
nova iguacu,23
belem,24
contagem,25
juiz de fora,26
barueri,27
mogi das cruzes,28
praia grande,29
sao goncalo,30
vitoria,31
sao luis,32
uberlandia,33
piracicaba,34
sao jose do rio preto,35
vila velha,36
carapicuiba,37
diadema,38
campo grande,39
taboao da serra,40
maua,41
maringa,42
indaiatuba,43
joao pessoa,44
petropolis,45
londrina,46
sao caetano do sul,47
teresina,48
cuiaba,49
serra,50
duque de caxias,51
taubate,52
bauru,53
sao carlos,54
guaruja,55
suzano,56
cotia,57
joinville,58
macae,59
caxias do sul,60
campos dos goytacazes,61
canoas,62
americana,63
maceio,64
volta redonda,65
aracaju,66
natal,67
montes claros,68
santa maria,69
limeira,70
feira de santana,71
uberaba,72
santana de parnaiba,73
atibaia,74
blumenau,75
franca,76
jacarei,77
pelotas,78
betim,79
valinhos,80
sumare,81
ipatinga,82
marilia,83
sao jose,84
itaquaquecetuba,85
cascavel,86
sao vicente,87
rio claro,88
itapevi,89
presidente prudente,90
ponta grossa,91
araraquara,92
sao joao de meriti,93
nova friburgo,94
embu das artes,95
manaus,96
aracatuba,97
paulinia,98
pocos de caldas,99
sao jose dos pinhais,100
braganca paulista,101
divinopolis,102
marica,103
hortolandia,104
porto velho,105
pouso alegre,106
cariacica,107
governador valadares,108
rio das ostras,109
cabo frio,110
itu,111
novo hamburgo,112
mage,113
sete lagoas,114
cachoeiro de itapemirim,115
aparecida de goiania,116
palmas,117
barra mansa,118
resende,119
jaboatao dos guararapes,120
santa barbara d'oeste,121
chapeco,122
teresopolis,123
rio grande,124
ferraz de vasconcelos,125
jandira,126
ituiutaba,127
ribeirao das neves,128
gravatai,129
anapolis,130
belford roxo,131
araras,132
itajai,133
sao leopoldo,134
passo fundo,135
franco da rocha,136
francisco morato,137
jaragua do sul,138
cajamar,139
ribeirao pires,140
balneario camboriu,141
mogi-guacu,142
nilopolis,143
itajuba,144
santa luzia,145
angra dos reis,146
vinhedo,147
botucatu,148
pindamonhangaba,149
palhoca,150
vicosa,151
caraguatatuba,152
itatiba,153
salto,154
assis,155
caieiras,156
criciuma,157
sao joao da boa vista,158
patos de minas,159
itanhaem,160
nova lima,161
cachoeirinha,162
itapecerica da serra,163
guaratingueta,164
poa,165
votorantim,166
lorena,167
varginha,168
ubatuba,169
vitoria da conquista,170
teofilo otoni,171
barbacena,172
conselheiro lafaiete,173
lages,174
foz do iguacu,175
ananindeua,176
olinda,177
varzea paulista,178
lavras,179
birigui,180
amparo,181
mogi mirim,182
sao roque,183
ilheus,184
mesquita,185
ourinhos,186
araxa,187
araruama,188
itabira,189
cacapava,190
jau,191
itapetininga,192
viamao,193
garanhuns,194
rio verde,195
linhares,196
catanduva,197
rio branco,198
lauro de freitas,199
cubatao,200
paracatu,201
tatui,202
campina grande,203
caruaru,204
tupa,205
barretos,206
aruja,207
colatina,208
santa cruz do sul,209
uba,210
dourados,211
mairipora,212
itaborai,213
colombo,214
rondonopolis,215
camacari,216
erechim,217
ijui,218
sinop,219
sao sebastiao,220
votuporanga,221
guarapari,222
jaguariuna,223
guarapuava,224
manhuacu,225
sertaozinho,226
sao joao del rei,227
itapeva,228
valenca,229
parnamirim,230
toledo,231
pirassununga,232
tubarao,233
lagoa santa,234
muriae,235
apucarana,236
caratinga,237
pinhais,238
timoteo,239
paranagua,240
embu-guacu,241
guaxupe,242
avare,243
brusque,244
queimados,245
saquarema,246
cruzeiro,247
itabuna,248
itauna,249
ouro preto,250
campo mourao,251
cruz alta,252
petrolina,253
pato branco,254
araucaria,255
bento goncalves,256
uniao da vitoria,257
itapira,258
concordia,259
cosmopolis,260
bage,261
macapa,262
peruibe,263
joao monlevade,264
lajeado,265
santo angelo,266
lins,267
francisco beltrao,268
jaboticabal,269
araguari,270
sao mateus,271
registro,272
extrema,273
bebedouro,274
patrocinio,275
porto seguro,276
barra do pirai,277
jatai,278
barreiras,279
unai,280
boituva,281
itupeva,282
pedreira,283
sao jose do rio pardo,284
alvorada,285
itaperuna,286
leme,287
bertioga,288
coromandel,289
paranavai,290
matao,291
guaira,292
alfenas,293
nova serrana,294
fernandopolis,295
ibirite,296
andradina,297
pirapora,298
uruguaiana,299
curvelo,300
vargem grande paulista,301
varzea grande,302
tres coracoes,303
campo limpo paulista,304
videira,305
sao pedro da aldeia,306
boa vista,307
monte mor,308
ponte nova,309
mongagua,310
paulista,311
ouro branco,312
itaguai,313
itapema,314
maracanau,315
ilhabela,316
aracruz,317
tijucas,318
sao joaquim da barra,319
artur nogueira,320
vespasiano,321
eunapolis,322
caucaia,323
passos,324
vassouras,325
tres lagoas,326
pedro leopoldo,327
arraial do cabo,328
campo largo,329
louveira,330
penapolis,331
tremembe,332
capao bonito,333
cianorte,334
santarem,335
catalao,336
sabara,337
juazeiro,338
sapucaia do sul,339
sao bento do sul,340
gaspar,341
navegantes,342
alagoinhas,343
sao miguel do oeste,344
capao da canoa,345
itumbiara,346
rio do sul,347
esteio,348
coronel fabriciano,349
marechal candido rondon,350
tres rios,351
japeri,352
tiete,353
luziania,354
imperatriz,355
lencois paulista,356
cerquilho,357
adamantina,358
valparaiso de goias,359
paulo afonso,360
guaiba,361
mococa,362
itarare,363
camaragibe,364
santa rosa,365
arapongas,366
umuarama,367
cataguases,368
alegrete,369
nova odessa,370
para de minas,371
araguaina,372
cacador,373
sao lourenco,374
mossoro,375
campo bom,376
santo antonio de padua,377
seropedica,378
bom despacho,379
jales,380
luis eduardo magalhaes,381
osorio,382
garopaba,383
parauapebas,384
guanambi,385
cachoeira do sul,386
olimpia,387
telemaco borba,388
caldas novas,389
santa isabel,390
morrinhos,391
juazeiro do norte,392
almirante tamandare,393
orlandia,394
santa rita do sapucai,395
santa cruz do rio pardo,396
ibiuna,397
jequie,398
formosa,399
sao sebastiao do paraiso,400
monte alto,401
dois vizinhos,402
santa barbara,403
porto ferreira,404
santa fe do sul,405
capivari,406
