customer_id,customer_zip_code_prefix,customer_city,customer_state
PxA7fv9spyhx,3112,armacao dos buzios,RJ
gZTPKLPRnreg,20921,sao paulo,SP
IfWKDQHkjLDd,32407,sao goncalo,RJ
kZ0rkJCJ6N5y,13843,mogi das cruzes,SP
FrEvnEiMKGpr,28630,sao paulo,SP
qEVfsXFU3er9,3936,apora,BA
mPg90mQwmDOP,85140,brasilia,DF
lZ0pUFQvjZNA,37589,lorena,SP
GuxDt46GwQEd,95912,canoas,RS
KD8KlSTtIm3Z,85155,sao lourenco da mata,PE
JyHhNu9cbCo1,57180,belo horizonte,MG
oZqYD7eyV1EJ,93346,brasilia,DF
iFsAJRrzVaTS,4932,sao paulo,SP
f4Frm4WEvj1g,45890,sao paulo,SP
0I8vL0BlM1p1,2943,atibaia,SP
45WzrefbE0kB,99025,sao paulo,SP
dGD1MVag3snm,1050,curitiba,PR
hWGGX7sEla9R,36090,araras,SP
JJe2PPwxISzG,25545,santa cruz do rio pardo,SP
cnalXbv8lRur,65302,cubatao,SP
Vpl3DrXMAEhb,65935,itapolis,SP
6gl6qALuNSUL,6394,claudio,MG
rAV7gKaOWkEy,71740,bofete,SP
tIPFV5qJBgvT,78885,tatui,SP
dXsploeBzop3,2757,curitiba,PR
9tQzKeNKhIoQ,3809,sao paulo,SP
8tpStNEuJ43p,26293,porto alegre,RS
4YfVSBGWPVdv,30662,santos,SP
paCiJAGDh54D,12053,piracicaba,SP
ebCRKHmjYa2q,82640,joinville,SC
ap5gXjoc79ju,48020,sao paulo,SP
MdXOdiX1GYJB,25560,itupeva,SP
DFT8eetndqim,99250,monte azul paulista,SP
Nxs89iJKBJ8Z,2185,jundiai,SP
fo2DhPj0geOU,5642,januaria,MG
xIjzSNbQQ1uw,94451,sao bernardo do campo,SP
M8toooCMGG65,39625,porto alegre,RS
YeToIjRZbK1b,4832,sao paulo,SP
LFLEYmt3mGzI,29192,rio de janeiro,RJ
5nowe7IWIlDi,2932,sao paulo,SP
qVYMpdAeuyNn,31746,campinas,SP
ejNZQ7X7x2T3,94950,teresina,PI
JOJJwXBnFMcH,83411,curitiba,PR
aptoeeHlIxbP,33120,ribeirao preto,SP
Df666drgmPfx,42721,paranagua,PR
eKhyaqjCe7PA,24310,campo mourao,PR
I94cAhDO80TM,35470,ferraz de vasconcelos,SP
uQoGZ4NfZUsh,35894,conchal,SP
5dFJ3hGKYymc,89970,ipatinga,MG
g0UqYq0z41XR,74460,niteroi,RJ
IG0zdwpicn3n,3185,florianopolis,SC
gvNtQarZgOr8,28664,aracaju,SE
RoIfzwKM1yvo,3928,rio de janeiro,RJ
Py7WXu4L3Wmi,65870,guarulhos,SP
HFRFmaPKlKMJ,18380,sao goncalo,RJ
KC8GYZZaxJut,89868,sao paulo,SP
1GWMLfIMdj4c,29970,alfenas,MG
ILqTIy6lgDe6,95055,campo grande,MS
qok4zm9Soojy,2368,sao paulo,SP
K344NrOcLCky,48030,salvador,BA
Q8Lv1HumoePe,13290,itajai,SC
lZxA6yRvTQOj,89690,florianopolis,SC
nodpgJjEkMSi,55016,caratinga,MG
9tBiIII0TOJc,18707,florianopolis,SC
wu4LLpEktWbt,74680,garanhuns,PE
wMofpXKFWSfh,13060,maua,SP
RwArI5y9MN7r,58027,rio de janeiro,RJ
SpZjRYzPDtxp,65293,sao paulo,SP
xe0n3nVehHaT,8051,niteroi,RJ
mpDGFN6xdUn7,6535,carapicuiba,SP
sNJV5Gu55TZU,70722,aparecida de goiania,GO
U6mP30pWiUQe,74825,sao paulo,SP
kUuQFMv8ogyX,20040,tubarao,SC
QCRBg1XfOOjC,11703,serra,ES
G1xpdgzhaH2L,76934,fortaleza,CE
DAue1YHraRsj,39625,porto alegre,RS
lOWywMERsxp0,31540,rio verde,GO
pFnZuW57EJTb,65605,macae,RJ
PkOW7Cbf1rU5,12908,ourinhos,SP
Q9msAR1VvoH1,75906,rio de janeiro,RJ
BDzndD4z9i8L,57520,sao jose dos campos,SP
lqQQsrkprasJ,58195,fernandopolis,SP
XTOCrs09YhZc,85825,sao miguel do iguacu,PR
it7WXIogmstw,59518,teresopolis,RJ
H0nuPXkLsYFV,30315,serra,ES
AWTTxA4Co08L,57520,sao jose dos campos,SP
LJGTAEWNa0kn,7121,sao sebastiao do alto,RJ
gHIMze7jfJUK,88374,sao paulo,SP
rmFc8ZT8QAFE,14801,rio de janeiro,RJ
FyFlugMB18oj,4567,itanhaem,SP
vIv7e64Weojr,5586,sao bento do sul,SC
niuqvDhsbEh8,11010,porto alegre,RS
eGMfCgBLlg0f,94410,sao paulo,SP
y3TdpB1uofUy,70238,campinas,SP
fhyuZMq5ShwO,7854,sao paulo,SP
asSHqDT749oJ,9684,sao carlos,SP
MhqK5dPuLYq2,87270,curitiba,PR
5dXseDWEmiMC,46550,sao paulo,SP
KuWnR59U1FPy,68665,garanhuns,PE
yhYEYeGAUIUp,6630,turvelandia,GO
Ct3CALEeBTfd,17600,sao paulo,SP
J2eUP3qQRX21,74932,cornelio procopio,PR
JKRYqZKJtJZE,9691,sao paulo,SP
wlZXim18Y5wp,4015,rio de janeiro,RJ
XVlW6vVBrmk6,5521,cabo frio,RJ
eQaIzzVXvSVe,85423,fortaleza,CE
RR1YZ96cZobY,30662,santos,SP
fQp5U82OnxIM,15154,camacari,BA
Vbad86A2kO7h,70872,fortaleza,CE
sonYdrcofFIt,1138,salvador,BA
CuXTYUcBde3A,88868,ilhabela,SP
JRAkBW52ylzK,50100,sao paulo,SP
XX2dJ9DXoJxM,31744,rio de janeiro,RJ
foSnpCEnGhUf,2436,jucurutu,RN
zCLkW72kCLsN,4689,sao paulo,SP
tkakHcVpbwX6,36606,sao paulo,SP
ZVNvIsLUX7Ow,61658,feira de santana,BA
mUpYzU9GRF4C,89113,piedade de caratinga,MG
iVkQDCNUtDjj,53610,sao jose,SC
MCJjhEvGihoi,37940,barra do pirai,RJ
JOfDxyqX9fkr,4054,goiania,GO
PSsOpTjyt9Wi,13337,sao paulo,SP
krPjYIHB5zZO,2012,sao paulo,SP
Sv2DgoaKSvpO,74660,rio de janeiro,RJ
w6vMShfahXuV,13349,ji-parana,RO
4dXpFDzeEjZN,11542,sao paulo,SP
pHOHna6m77aV,88570,carapicuiba,SP
L02EQ9VH35mB,87860,lajeado,RS
SGhJNvVg9Xi0,39645,santos,SP
KYzOqTmXicFK,5547,diamantina,MG
ETxNSyUi9shg,80540,sao paulo,SP
ynxUzbdIr3w3,3004,sao paulo,SP
lJEOyEyJeAQ3,32675,porto alegre,RS
rxjKzexaNB9k,37245,florianopolis,SC
Hnvi7ZKd3ViY,19230,itatiba,SP
lT6im48NY8vz,3401,niteroi,RJ
KWppLJ3KkTqt,74375,guarulhos,SP
hi55tQkf1YUb,60861,salvador,BA
GyvnEFzj1eSn,36590,piracicaba,SP
gfqX2v3f4RPq,6130,sorocaba,SP
BW8Lo9R5OCBF,55250,itabira,MG
juTccWeP0t36,9750,coribe,BA
lhqcordf2lwr,49190,cosmopolis,SP
uWLhlCUxUAvB,13060,maua,SP
mrR5h0AEdYi6,3433,para de minas,MG
ngktKR1wEcBm,85860,ponta grossa,PR
tiR8d0Kh5Jc6,65046,recife,PE
g3Zqo0PFbDqc,4137,araras,SP
T1Wpepr3o18t,3378,limeira,SP
lFYmOcPHaoiu,6845,petropolis,RJ
v0XDhQrmh7fF,17057,candido mota,SP
0dwG62wm5EXo,7064,diadema,SP
kg6PjPxXjsla,23525,rio de janeiro,RJ
XFiJljumZ7uq,8771,maua,SP
cLLRJbaB1mhj,8613,sorocaba,SP
leBInh5r93HN,77020,apucarana,PR
vCkuMzqO4rmZ,81130,pelotas,RS
bwZy8EyKyv9S,88130,araraquara,SP
Y9DZ5DNyxciy,18700,osasco,SP
0IPkaXGxHl5E,25050,sao paulo,SP
8ezHf93Uw3G7,64016,boa esperanca,MG
PJpmhdRKHSg5,6340,cuiaba,MT
5MyD7VKiGpIv,31080,sao paulo,SP
iXz5d6LpMj4Y,3320,veranopolis,RS
OYQsIqnpDCaS,81220,rio de janeiro,RJ
TKqDg6UoaInj,13341,vassouras,RJ
LFkJg38YqEDZ,79042,pesqueira,PE
wFK1Lopl99Ne,5655,barra bonita,SP
gQdWOmsfecTO,25937,sao paulo,SP
aD1XMSmFY1vY,72910,sao luis,MA
uSCevHJlrO8i,65020,sao joao de meriti,RJ
ZlqRS91Sx3AW,14500,rio de janeiro,RJ
lRq4L8YCPlRH,5095,americo brasiliense,SP
P0Z8DjVJj18E,5687,sao paulo,SP
OihNvx7IAT4w,88309,sao jose dos campos,SP
ruWpsuNc4lhp,84016,angra dos reis,RJ
9OTVLUcI3AW4,3553,niteroi,RJ
PhLqU5Zzqrc4,1414,sao bernardo do campo,SP
AskeGgEhJilz,29107,vitoria da conquista,BA
olMfe4iTUkGW,13733,florianopolis,SC
OHVueTfeofEz,88134,jaboatao dos guararapes,PE
VJKW5atVoMtb,44460,brumado,BA
hSuXHICxtGvr,24060,brasilia,DF
UUnWaaODdN1g,86707,varzea paulista,SP
gjhOKZD0F5iO,75901,sao paulo,SP
8BABx62jJ0n3,4168,sao paulo,SP
N9NZZLorNdyE,27353,criciuma,SC
7YqEuWtb6F0G,1250,ribeirao preto,SP
2WeRLpDdPyqu,78850,sao paulo,SP
MLaGQ4tVPTpk,25806,novo hamburgo,RS
WGRkXTEm8Xj5,3178,cacapava,SP
5wASJanXd9Zn,15900,limeira,SP
W7XpQ5aqzrip,45991,guararema,SP
kilBkiCdUnem,49035,campina grande,PB
yQgunhiaufL9,23911,rio de janeiro,RJ
G4ZM9Ac8Qbm6,60730,paranavai,PR
IU4TvlloI5MV,3882,brasilia,DF
rQm57IXSie35,45580,cristalia,MG
mYpv36kYJ9jc,23028,rio de janeiro,RJ
DTjNrt0tmpIf,2253,caldas novas,GO
