order_id,payment_sequential,payment_type,payment_installments,payment_value
v6px92oS8cLG,1,credit_card,8,382.39
NpJz7zF9U1ae,1,credit_card,6,87.3
Q97dFuo1kaq9,1,credit_card,10,110.32
07j6mlMhSVtx,1,credit_card,3,818.35
P5R6jr1qZdh4,1,credit_card,10,98.42
43It0OEHVyJe,1,credit_card,1,38.35
ddXx4T93MeaI,1,credit_card,2,107.01
MhDudBaAab78,1,wallet,1,298.17
YTztQOHlvuBg,8,voucher,1,120.04
9G9EHbafs7NW,1,credit_card,1,966.48
VtQvdStc00Xd,1,wallet,1,113.84
KJL5uJuZzKxr,1,wallet,1,192.92
C21fWds5zL0W,1,credit_card,7,107.82
ph9ImXx6aMjl,1,voucher,1,98.89
C3u0OwYQ8nuP,1,credit_card,1,203.19
8g4jF6hPD6tG,1,credit_card,1,395.46
IBT786JmVIAa,1,credit_card,10,5.28
qcDbJ8F0FIjM,1,credit_card,10,90.11
0MQGlO2eQrNG,1,credit_card,1,228.29
zb8Qfa2K9ynp,1,wallet,1,244.85
LLWFihCYlP6a,1,credit_card,6,63.38
4qLswBjaDZnT,1,wallet,1,47.48
XXzZNogGt47r,1,credit_card,6,234.19
zh6skhlWLDTv,1,credit_card,6,913.13
kuyUMcYHFGqn,1,credit_card,3,133.3
efc3TQanhsCE,1,credit_card,1,52.37
n8p0M8Vco4SQ,1,credit_card,9,1.14
OiIetUyiPLHG,1,credit_card,1,115.82
PC71lF6z451l,1,wallet,1,41.98
qcXjhr3DZYmI,1,credit_card,1,56.79
3SQKKPbTrStx,1,credit_card,2,108.67
pHtHYRoip8Cl,2,voucher,1,206.07
yGQcdep9edOe,2,voucher,1,145.48
xmCgQrZviQ4N,1,credit_card,3,215.54
DWf9VC5hYd07,1,credit_card,10,197.59
0Eab4qSWCSyh,1,credit_card,3,1301.01
V98wyh8HaJrC,1,credit_card,7,328.5
F7SlozxlB98i,1,credit_card,3,383.82
gQPaVIZUm0jj,2,voucher,1,163.33
HOFJukOFU41j,2,credit_card,2,54.62
7L8qUUgsbhXY,1,credit_card,2,209.81
aDxB5SgA7C4q,1,credit_card,3,0.33
uT2NLXe4uIbX,1,credit_card,2,85.52
2DhVqmEuKWsy,2,voucher,1,333.6
VBLoTukvL7qH,1,credit_card,3,116.6
BERp5cg4oEws,1,credit_card,5,231.76
aMzeNC1KCVOQ,1,credit_card,2,1148.75
nKbHlRgVGlF3,1,credit_card,8,236.92
P09ArFA0BZRP,1,wallet,1,343.54
mofZTSTPPWxE,1,credit_card,2,41.15
UWss0GYyCTJq,1,credit_card,1,550.83
9fJpRKgzGYmY,1,credit_card,2,463.15
4WCFUeAivvDG,1,credit_card,8,144.18
tflNP98YJXRM,1,wallet,1,388.25
QBEax8koxs19,1,wallet,1,721.74
CtAfWF8UkMCP,1,credit_card,1,451.75
V4JFkZwCu5hF,1,credit_card,5,137.22
pLnMJMmel09E,1,credit_card,2,343.54
7PvMPzzIkey5,1,credit_card,1,125.86
yWHy7JXGvc0Z,1,credit_card,7,114.84
GKjyAxdPwdIc,1,wallet,1,1381.83
KL9BlcRxTqHu,1,credit_card,10,364.75
PULq31I4UKo4,1,credit_card,1,255.93
Y0bGpsoT1Vhh,1,credit_card,1,245.57
7LgpFGaazYyl,1,credit_card,5,158.71
88cwXsdwdeEH,1,credit_card,1,94.85
dix4hRLqxcfL,1,wallet,1,2033.48
4W3f1ahNdmTs,1,credit_card,1,520.02
xljf54RoX9JP,1,wallet,1,6.57
qJjvfYu6Y4fm,1,credit_card,1,232.27
JT0oXIkh4Gzh,1,voucher,1,123.97
3kStl9hl8CfT,1,credit_card,9,144.17
07amSeyheu9N,1,credit_card,1,55.01
0HR2Bu3Sp4gp,1,credit_card,4,414.46
3BfkNOSXE9fK,1,credit_card,2,16.78
7ERc3mX6MCjK,1,wallet,1,191.11
Qnw2wAOmQylg,1,wallet,1,343.55
Bie3bBbWriRw,1,credit_card,1,184.06
hlpMgRkYTHdL,1,credit_card,4,43.98
KwUxouAIwmnW,1,credit_card,8,99.75
tVdaOadCApSM,1,credit_card,2,312.62
2Tdr9eDhdtIu,1,credit_card,1,236.29
p6iWM5qft7BH,1,wallet,1,349.89
oJ1LprF3qOBG,1,credit_card,1,25.58
9LyEELGHWgoP,1,credit_card,3,665.87
Hoy9CyALWGZJ,1,credit_card,1,313.54
i3YWWZIz8fk7,1,wallet,1,203.52
RM4M9i8Yn5x4,1,wallet,1,43.74
ulZ0mI7peyf7,1,credit_card,2,29.17
lUA0GIMIbFvS,1,credit_card,1,10.02
DYDQgIcAmOCk,1,wallet,1,93.13
wILgQcnuMP8h,1,wallet,1,205.18
YTg0u33hKRJZ,1,credit_card,2,227.58
MoHhpMorkOQe,1,wallet,1,99.4
NbPquApcLFZJ,1,credit_card,1,257.29
ATdWeoeua8ai,1,credit_card,8,2.35
joyYy74OGHWZ,1,credit_card,1,361.07
gnVDCx1e4YD7,1,credit_card,3,404.44
ZN7DWjWqWQND,1,credit_card,10,73.01
eVdINTRc6DTs,1,credit_card,1,48.73
1pVYIkz0eQfb,1,credit_card,1,420.76
IKNPNRlaS4PH,1,credit_card,3,35.03
8eWU8keN9FXT,1,credit_card,1,68.22
obepRrkmejN1,1,credit_card,2,313.93
qcxJY5K5rPBi,1,credit_card,10,102.13
2O4VRzPhg02a,1,credit_card,4,88.76
PM660Hvl5ltN,1,wallet,1,220.27
jYQul2d9y89V,1,debit_card,1,12.5
7fplap09K9uW,1,credit_card,3,389.16
TOB9XNU1gV1f,1,credit_card,6,118.11
3T9PiPDcq3cK,1,credit_card,6,662.62
Hl9PAWXsdmPU,1,credit_card,2,228.57
FkANVps9FhLR,1,wallet,1,159.34
D1OV1U2a3Dd9,1,credit_card,4,625.74
NTazQkCK4mha,1,wallet,1,178.2
KPHhhqVaXYdi,1,credit_card,1,419.06
nwjBTosPuevD,1,credit_card,2,10.27
cchlhN4a6RjF,1,credit_card,3,1057.4
XGCdHW22bmYg,1,credit_card,3,115.18
DliowlQV2yV8,1,wallet,1,87.46
BEzrXmUJ6jSb,1,wallet,1,429.29
6EBIqp1t8jl5,1,credit_card,10,501.44
Nfrsb5Agsaby,1,credit_card,1,328.73
8IWGm9dmvitQ,1,credit_card,5,99.68
Uvm3eqrT5PNd,1,wallet,1,202.68
JEVjyOfz3vRF,1,credit_card,3,44.7
y0i7sJkjdEnZ,1,credit_card,1,81.72
JTeAJcOZLKTU,1,credit_card,4,131.84
ZDuilm8eBY8K,1,credit_card,1,113.66
AQvbQzBW9VJT,1,credit_card,3,104.55
dq03LBuhzhir,1,credit_card,1,65.18
yXSLbq8jJNLB,1,credit_card,1,248.1
geEz6xDLz5yY,1,credit_card,8,284.9
C2sEixmhn3Bk,1,credit_card,6,167.52
AICU9CQf9zNO,1,wallet,1,406.6
FDCy2o1xPwo3,1,credit_card,1,365.78
