product_id,price,DeliveryDelay,DeliveryClusterID
00FVdl7l7TLz,809.76,-7.0,2
00MeCa7ZMo03,420.07,-13.0,0
00V9K0LkMBYL,538.9,1.0,2
00j9JICga8vf,47.9,-8.0,2
00wWY3juheak,29.4,7.0,2
0133fSLGcAdY,56.89,0.0,2
02puXQoJNuBo,278.86,-10.5,0
0348JYX1Ar5j,120.49,0.0,2
03Bzpx1XGAHA,0.85,0.0,2
04A0H6UttRin,42.89,13.0,2
04A0LGRKLTCI,6098.14,-15.0,0
04QTl6Sndquu,694.9,-21.0,0
04VarFqFDG4N,1141.86,-15.5,0
05NC5cmTzqa7,24.9,-18.0,0
05z7Yf4YPwMO,122.3,-13.0,0
064R1FMNd5sh,334.0,-11.0,0
06HROVFVhyM3,281.89,-20.0,0
06rtcsvYeR06,56.89,0.0,2
07IlyEztHa70,820.05,-13.0,0
07RqkOpsLSN6,98.76,-19.0,0
07aLXHs1EpXz,102.49,-4.0,2
07dJyv3ubTCz,934.5,-12.333333333333334,0
080K7QSyCYAM,367.0,-14.0,0
08rjqbzUkAbq,237.76,-2.0,2
08vWuht3gglQ,1750.0,-20.0,0
092eqV3obw5G,8.99,0.0,2
09H8za2JmGdg,376.0,-23.0,0
09IGpiXslrxk,10832.21,-12.444444444444445,0
09Q0SVGbFcCx,98.6,0.0,2
09Tc6Sr9098k,1640.1,-12.5,0
0AMrGioGGEyF,139.4,-11.0,0
0AR7mtGvo0RV,363.12,0.0,2
0ApVR9wtO7MY,509.99,-7.0,2
0AtCpm25bzug,10.6,0.0,2
0B4VhoA0TZQr,517.65,-17.0,0
0BDb3CrM8vd5,162.44,-4.666666666666667,2
0BLEfwSHwdOd,266.55,-14.0,0
0Bid1yfFeSgm,6130.650000000001,-29.42105263157895,0
0CBQRgGhMmrr,318.33,-15.0,0
0D9HfuaKaoMR,1040.97,-7.0,2
0DCvxJE9IzZE,209.10000000000002,-5.0,2
0DFpFqCB3aIi,112.8,-5.0,2
0DU2t4zY359y,93.96,-11.5,0
0DoQRZJFrIMa,497.34000000000003,-11.764705882352942,0
0ENTt7pNIfnU,271.92,-18.0,0
0EQftELnwZoz,419.9,-21.0,0
0EfcbwuQ0aPd,181.56,-1.0,2
0ElMweXUInm4,2255.1,-15.0,0
0Eo4npyKl2Ek,22.3,0.0,2
0EsupKNjYnf3,723.23,-6.6,2
0EwvBm3NwyyJ,61.6,-15.0,0
0GPPL6FpJ8HF,232.22,-7.0,2
0GcQ8MS1mQMY,42.89,0.0,2
0GmJLaM0KgNU,447.02,-44.0,0
0HH0uZjll0tp,15750.0,-16.142857142857142,1
0HMo6OACVL63,79.3,0.0,2
0HunULMgiq2w,157.46,-14.0,0
0HzZ5ild6ceh,422.75,-11.666666666666666,0
0I13jvDzbWlv,907.4,-14.0,0
0I5rLRey7EWZ,128.67000000000002,-8.333333333333334,2
0IbLt6Xlugea,4590.0,-4.0,2
0IjTTPekYrA6,2180.2000000000003,-10.3,0
0JVA810a7Grt,127.5,-2.0,2
0K0P4NdTAnei,273.9,-15.333333333333334,0
0KcCsi6HKPLU,23.95,-15.0,0
0L09m6sfzbdM,618.14,-14.0,0
0LqYqrXmrzL2,966.9,-3.0,2
0M0yiT5ITfSr,115.32,-25.0,0
0MeqvgrQfAt0,840.14,-13.0,0
0MiDMaYR85J0,1291.56,-7.0,2
0N6rBgijrDMA,69.7,-2.0,2
0NQ4UjxIDRHt,1982.97,-14.5,0
0NRdClVbedAw,127.77,-14.0,0
0NqkBleSyYjW,447.02,-8.5,2
0O3S6o8fMkaN,378.49,-21.0,0
0OQed2ObE2vR,531.8,-15.0,0
0OZo7fOinKqs,78.73,-33.0,0
0Osm6j6nfMoT,24.0,-21.0,0
0PAN7CmhgFNM,53.82,-6.0,2
0Pr5vGEiQWym,1055.52,-16.333333333333332,0
0QFqHYeVmXAY,227.0,-5.0,2
0RNv8SY9roNd,2076.0,-13.0,0
0RReKFD74QV4,3832.5,-14.0,0
0RUKvXo8NzIm,37.84,-2.0,2
0RgDnQKQBQXX,283.0,-9.0,2
0Rv9bIApkexA,7515.2,-13.0,0
0Sn3hwwa0s4j,820.05,-14.0,0
0T9mnoLcvxVW,845.0,-17.0,0
0TCzezBqUs0x,357.8,-8.0,2
0UR1CEiLTQ2n,188.8,-12.0,0
0UkzkKTSkhjX,25.4,-3.0,2
0UwHhkZ2oDnj,30.48,0.0,2
0V2f5ia8ukKG,3157.0,-9.5,0
0VDLSVRVXS60,197.52,-20.333333333333332,0
0VKfUxmBy9JM,326.16,-6.0,2
0VLi0yVPIBpF,2441.95,-4.0,2
0VrbRItwtx5c,2460.1499999999996,-9.0,0
0Vw8ETszESyO,777.0,0.0,2
0WNiojFbimXm,1658.83,-13.0,0
0XKWf82bYQQP,197.2,0.0,2
0XMle0kUevjI,167.0,-38.0,0
0XqmnjACNynP,231.68,-16.0,0
0YXohicnqicw,2999.6,-12.0,0
0Yi8cTI1UWjF,288.6,-7.0,2
0YrzbwVz9urq,119.48,-11.0,0
0ZPKHc8B1eqn,593.8,-0.5,2
0ZYRRRKL1ZIa,399.2,-16.0,0
0ZbjU1bntinu,89.91,-5.333333333333333,2
0a0adQozaONK,533.49,-18.0,0
0a4ravzgJwZa,387.99,0.0,2
0aJdxM1jk3jQ,367.0,-21.0,0
0aVIvlSrhhjW,253.38,-16.0,0
0aWZBTAIAt49,37.49,-30.0,0
0apsaCg7GNsA,273.0,-5.0,2
0b7pcjDGjGnm,195.28,-9.5,0
0bTyREYWtcli,269.89,0.0,2
0cG2591X7GrW,777.0,-19.0,0
0cm7Cd4IojMT,174.84,-12.0,0
0dogqS8XqTxu,195.03,8.0,2
0ebmp3LwnCP7,427.5,-17.0,0
0flNSlk4xPT6,25.11,0.0,2
0fs0sU5K7dKb,966.9,-14.0,0
0fsWDnjwAfID,1229.72,-13.0,0
0fxH6rLjYtwq,2423.3999999999996,-9.0,0
0g18y14fOxVC,26.77,-22.0,0
0g1rbxYRhrOA,213.48,-19.5,0
0gLkdktEI9JW,1019.98,0.0,2
0gdw2VClWLfb,399.2,-8.0,2
0gejhS4UtCYM,518.18,-14.0,0
0gvtL8sjlsTY,42.99,-25.0,0
0h2ZQFDafQJK,976.3900000000001,-11.0,0
0hKpDsBaixO2,1252.9,0.0,2
0hjYGoQ658og,1497.78,-20.666666666666668,0
0i4Wy2986DcG,252.99,-22.0,0
0ivwtcxNnjKI,274.99,-20.0,0
0jNwjbxdaxhn,115.52,-12.0,0
