product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
qejhpMGGVcsl,watches_gifts,440.0,18.0,14.0,17.0
MJ82dNJNiV7U,toys,1500.0,30.0,5.0,20.0
wdV7yJzaz3Su,toys,4338.0,17.0,12.0,14.0
vndXhZ66Bwpl,toys,500.0,16.0,12.0,22.0
2RxPIb6Sjlm1,toys,300.0,38.0,19.0,22.0
YCMS6jUWbEbe,toys,4000.0,45.0,20.0,100.0
tfgKHMdnTKpJ,toys,425.0,17.0,11.0,14.0
l0Q038BC2u3G,health_beauty,4200.0,30.0,10.0,20.0
V84ooqHQgeH2,toys,200.0,20.0,5.0,15.0
E9OiMOkPkNam,toys,335.0,17.0,11.0,16.0
aYw1jx6U0ZzQ,toys,300.0,27.0,25.0,27.0
kuUbPNBMgk7o,toys,2150.0,30.0,19.0,25.0
SESkOgF0nWnh,cool_stuff,1600.0,42.0,25.0,15.0
lkPBqpnGNyKe,toys,650.0,36.0,15.0,25.0
uCnShK796Rpb,toys,1700.0,28.0,14.0,22.0
QzAC1fDWMbmk,toys,100.0,11.0,11.0,11.0
MeFPAUcWfyAo,toys,1500.0,18.0,35.0,48.0
Pb29t2XBfP6Q,furniture_decor,700.0,35.0,4.0,30.0
qI5i1mUxo5tX,fashion_shoes,400.0,29.0,7.0,16.0
ch26pynh9FL6,sports_leisure,1182.0,21.0,16.0,17.0
eTlPil30tvIn,toys,5950.0,20.0,30.0,80.0
EZlH1lJVfFqj,sports_leisure,1017.0,42.0,21.0,27.0
mfq8n5MEY4eP,toys,378.0,21.0,14.0,14.0
TdryLJINHQ9O,toys,800.0,30.0,10.0,30.0
B2udqVNGe7sU,toys,300.0,30.0,15.0,15.0
nS95HUh6SK36,bed_bath_table,1600.0,49.0,7.0,40.0
cT3PvVNqyIpQ,bed_bath_table,5350.0,40.0,16.0,50.0
2oRZ0O0Cvxg1,toys,2150.0,42.0,10.0,22.0
5WcLgWtO04vH,toys,400.0,20.0,2.0,15.0
jyqvHPkDKFDV,toys,567.0,26.0,12.0,26.0
5hqQbR7p5r2D,toys,1825.0,43.0,28.0,28.0
fJOMyLSpholI,toys,200.0,20.0,2.0,15.0
lFGT2p3CDtxY,toys,200.0,22.0,3.0,15.0
xj8TsBOfCz2Q,toys,329.0,20.0,16.0,18.0
LEtlZnZPgiXx,toys,50.0,16.0,5.0,11.0
gdZxFB7RkmeM,toys,400.0,16.0,24.0,16.0
