order_id,product_id,seller_id,price,shipping_charges,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,CustomerClusterID,CustomerPriority,ProductSeasonalClusterID,ProductSeasonalPriority,ProductSalesClusterID,ProductSalesPriority,DeliveryClusterID,DeliveryPriority,DeliveryDelay,product_category_name,customer_zip_code_prefix,customer_city,customer_state,payment_sequential,payment_type,payment_installments,payment_value,product_weight_g,product_length_cm,product_height_cm,product_width_cm,quantity
MvXepLvftENR,fk5ErbvbdPxa,uywRyoD4KkF1,100.0,171.88,pr23IjXaB6rG,delivered,2018-05-04 12:41:25,2018-05-04 14:12:55,2018-05-11 23:36:34,2018-05-23,1,3,0,4,3,1,0,3,-12.0,toys,8340,cambe,PR,1,credit_card,3,271.88,750.0,30.0,12.0,30.0,1
rRXtJTDk2eaE,bfDyYAz7s3KQ,APaFMik2IGru,10.35,12.22,0d3zqMe3rLg8,delivered,2018-05-04 12:44:54,2018-05-04 18:30:23,2018-05-17 20:13:27,2018-05-29,1,3,0,4,3,1,0,3,-14.0,toys,89920,faxinal dos guedes,SC,1,credit_card,6,22.57,1900.0,30.0,13.0,30.0,1
kPpHoVBcP6ln,wYpJ3j8cxnSo,mt3LxYW5TJEQ,49.38,45.05,JTdTQB0BZ9g4,delivered,2018-05-04 12:49:50,2018-05-04 13:11:26,2018-05-17 18:06:34,2018-06-08,1,3,0,4,0,4,1,2,-18.857142857142858,toys,9445,uberlandia,MG,1,credit_card,6,94.43,100.0,20.0,2.0,25.0,1
wp3skJ4nrlBV,ja2cB9LpiYIc,2HgT2MWHngsN,83.36,50.28,cz6J7DZsxMun,,2018-05-04 12:50:04,2018-05-05 02:53:51,,,1,3,0,4,3,1,2,1,0.0,small_appliances,72820,paraguacu paulista,SP,1,wallet,1,133.64,100.0,30.0,5.0,11.0,1
nKwDWz3hewCW,gQmWktJ30VDv,yGbPyLPc8PmT,2899.0,34.33,yPAdFHxs8soc,delivered,2018-05-04 13:08:13,2018-05-05 12:13:15,2018-05-09 16:42:03,2018-05-23,1,3,1,3,0,4,0,3,-12.72222222222222,toys,24431,indaiatuba,SP,1,wallet,1,2933.33,250.0,16.0,2.0,20.0,1
Pr0JiWtQEZWS,whYNxbvzEmIw,QL8dwGX89Ml9,2899.0,55.82,U5IeCLKQuU5p,delivered,2018-05-04 13:13:49,2018-05-04 13:33:08,2018-05-15 15:21:48,2018-05-28,1,3,3,1,3,1,0,3,-15.0,toys,60441,macae,RJ,1,credit_card,5,2954.82,317.0,16.0,10.0,11.0,1
DVDKsoCVfi3I,kobxjmUtFa9l,QL8dwGX89Ml9,258.3,42.15,vNIFLkVltJFM,delivered,2018-05-04 13:13:49,2018-05-04 13:33:08,2018-05-15 15:21:48,2018-05-28,1,3,0,4,3,1,0,3,-13.0,toys,60441,macae,RJ,1,credit_card,5,300.45,250.0,17.0,12.0,12.0,1
nTodFiAlisdV,81RuiofBvW0m,PSWmiJiRlGzG,65.06,42.15,y7nCWScHHlrk,,2018-05-04 13:13:49,2018-05-04 13:33:08,,,1,3,0,4,3,1,2,1,0.0,toys,60441,macae,RJ,1,credit_card,5,107.21000000000001,200.0,16.0,11.0,11.0,1
Qs1Rzt3L3s3b,UgkSjxoiV9Ev,UOGIrJtSldvd,56.89,28.61,joaKJCls0z2e,delivered,2018-05-04 13:18:22,2018-05-04 13:33:19,2018-05-12 19:03:57,2018-05-23,1,3,3,1,2,2,0,3,-10.216931216931217,toys,1521,belo horizonte,MG,1,credit_card,1,85.5,2600.0,50.0,10.0,30.0,1
r9zMcLyraYDP,a4uIXfwfBhWg,JX4iwTS6jjJU,97.44,12.28,6yYxWT4L6L2Z,,2018-05-04 13:35:22,2018-05-04 13:50:46,,,1,3,0,4,3,1,1,2,-22.0,telephony,21042,campo largo,PR,1,credit_card,1,109.72,200.0,22.0,8.0,15.0,1
