order_id,product_id,seller_id,price,shipping_charges
Ulpf9skrhjfm,qUS5d2pEAyxJ,77p2EYxcM9MD,64.4,17.38
bwJVWupf2keN,639iGvMyv0De,jWzS0ayv9TGf,264.5,30.72
xNba906m4TM1,Y0T4Ca4BXK8U,ftbUjJ6Gsazg,966.9,98.76
VEDSMTavbQwk,IUykT5z5LcPW,RKad98cTxhSb,1534.9,66.9
DzNM8wrcMGFH,0UHKKyYmxWfq,K0qPVGdA91KO,779.0,34.86
StM5K4TLyrt5,V3ksL8RRt2uO,cijw7pZK3THP,37.89,72.67
HqV5f8K2UYoA,CBuRjOln99hg,Wk0JznmZOo6h,83.36,6.87
XupzjrovQeez,kuUbPNBMgk7o,tYbtiPwsAhmw,109.82,50.83
gVMP1bPDg69L,ro08JPncYzLh,r7VxefoTVHbb,509.99,21.76
INolFarYfmEO,saFIRNuu8V6H,qeM9i4J3ypy2,100.0,6.79
LV0vJIDricq1,uicu7Mpz6xlZ,V3iKL8r9W9NR,127.77,38.66
tOTdnjpI8Udp,tRV6VjdwdLAm,fBHtndjqwueV,295.0,110.14
ebR5efLCCpiq,Hwaj6cncrjwO,9fFFM6RBxCkT,186.98,17.44
YOKYMSjKRCMN,YgnBaIterOVh,FRAkUwkY4tZy,113.49,50.82
57XZHymoJ10l,SLTlrWtcYt1m,r7VxefoTVHbb,692.0,2.75
HNXQI2lmI4AR,bDhxHlkU0GeF,sdO4rR2udeZV,676.97,39.12
QOaNjVewOOTX,VCOwCoc0C3aj,BUqNP64b1AeL,111.27,49.55
O5bLel2qV1yT,mKDM0qdFnNNd,xbr8ZnHWrWgb,189.98,36.97
NnoGZNF5rNkD,htOWZMHmysDe,9OW1ODEpHxLL,125.46,13.81
EfyYNfniuxQP,VO111AOA1QIP,ElULPWS11hxk,161.0,47.55
PBvPGqQxwFDV,IsLB3oNMsX7k,K0qPVGdA91KO,31.99,38.26
OQHE8Ve7n811,7IfEqKdKlG9j,16pMg4KJ3hIj,87.9,47.55
Pp9bMvTIgPDs,hoBYqNvOyd5V,lAnSOSAjk3Uz,368.9,63.39
jJgDALmwe6f6,tfJojxEnA32p,ZsDn106jXrgr,8.8,70.17
qJHIiWyTAizV,0vbEvli2JYJu,RKad98cTxhSb,95.03,57.81
vSug5AqRo9gE,xl7fxh09W8xU,HQ4j3Fr6B61e,310.99,63.17
cuAQQZUhTEwb,bumRSmIPLuYa,kiirS0of7bJI,513.99,46.67
yYk586LcCRYw,Hh61P9XhdxJT,zhKBSmYNDuJd,21.74,8.31
2HQ26ShSPhCA,jcZ2MOqKsGsh,60CZvBJuXsud,136.9,24.78
h8KEpd8n4gLL,etUc3o0rjL6e,qeM9i4J3ypy2,849.5,139.18
JQnDQBQZYwWs,KocIrz6J906g,OOPkZSte8kf6,223.51,67.53
IKSlI8m4cXvg,dtkkSAYxncfA,dwcf0d2KopFX,42.95,12.28
ubzoVELLkeoU,WLCpnwy0jsjj,K0qPVGdA91KO,475.6,17.03
FfjA9YfQ045p,qjquOwfUstem,ErNdnCxofJMU,145.69,61.32
gMRkjz3CrUnd,Mb037GbMfoRI,V3iKL8r9W9NR,34.72,67.11
1sBsJeYdxAI1,LP9yzvAzxDXy,hmS6KkvxMbyF,399.2,38.66
KZdbnccspG6C,CdlzSJX6L7SM,V3iKL8r9W9NR,127.77,42.05
aK8BUDSAUnAJ,M6dHMMDQkzl9,pgzEZp7qYHHI,34.0,58.28
hdpKYesvGZeq,HsY2B64ToEjd,qc8HaReZKfQJ,54.16,38.82
Weun8cqlOfrB,Fn43rroPPaVv,JZPhFrxpqDgz,60.09,80.34
XQuhwBeGcadT,eJ0WKujR01gm,Cyl6PGvB25KG,56.89,7.54
8LfYKHvDTqIN,k1G4RHt3R7Nk,K0qPVGdA91KO,1589.0,32.95
0gxtU32XLhDR,t3Yt7rB0Siv5,0pPOelafmUDD,349.9,2.58
NqkFWmoEkOni,6qDx55OCUjhU,uWD9LoTnGKSE,475.0,42.92
Xz9xN4y9ehaz,Y6z2ccr6ILTJ,g6AdzghqF6DD,40.5,41.85
Y8qzXFVs2NdT,0GII09WWgwUY,Cyl6PGvB25KG,132.9,60.07
dZuZBawSN57o,UtRbLGZqWe6T,Hvqvzx84Y4bC,199.96,35.85
rUQbmLj5M2QE,2m67LSn6k958,AvTLykupHOIB,97.44,70.82
TTBF9yOgN5EH,6iped3gcNaVR,CmIOujRnGWTM,729.99,70.34
FyxzH1mhMBKM,aj4kbcxNEnZj,K0qPVGdA91KO,178.0,96.55
91fTReRt3k2s,yC8GTlBDlTbh,RKad98cTxhSb,46.2,6.87
EztPEldn1Aha,PNlm9wyElFNa,RKad98cTxhSb,193.25,68.39
3VPXNauA1hA6,T02sruZBYwTh,AvTLykupHOIB,97.44,30.66
RNy2CkQv9QO4,SLTlrWtcYt1m,r7VxefoTVHbb,4099.99,41.41
lFLPAbeUgKTV,tyfmRC7KLE75,kJEFisr2CqPX,23.1,31.04
P6bxg4N8Cw1J,frPceaQ1oVol,2a51UHcJkdrn,836.99,70.34
YykeWYFjVZYE,SGzn0iArTwMr,pgzEZp7qYHHI,517.65,47.81
dHuy4so1fO7s,9Zkcb7CHJ7oF,HPuxRyj1uNUP,517.65,38.18
MnaiNSJ6870y,Q4YJxJB0FmME,nVtBfuY353m5,755.99,31.1
39TPZFziHhP2,ZahOFsDsu0qC,EfrTKO2PD11W,113.49,17.07
afDRwL1WXpA1,a4eRSJHIpAKf,AvTLykupHOIB,97.05,30.66
r7702612Pdfh,GntEBdL0e4AR,wHLrHzu1U5IX,170.7,9.54
15IH5WU11wIZ,pG4lRZB6FT1o,9fFFM6RBxCkT,18.38,18.88
GHfebQ8QpH8l,uXqtt8FPcOSE,FhUPbC0FEzRW,155.4,11.84
B8V4EaW2eSh0,fXpxCuz3DlnE,COsMF55fuZCX,68.9,33.22
FwheKtHhpBN2,VrCYTXjnNAL1,ftbUjJ6Gsazg,95.03,39.84
TGt9bWN79Nqz,KOdBiBN6BdOW,xbr8ZnHWrWgb,98.9,45.85
yr2H21aRoD3h,GKdOuHdQrcS9,2cg7E5j1pzxq,453.7,17.38
HG9ftAgQxhF4,fF0aIgV1Szz2,cdFuckm1t0Np,1375.0,49.54
5WmmehR17vqk,MCpcB88Db8FO,RKad98cTxhSb,311.95,68.99
SSIHiYAn9TpY,hqX5zybakKuo,UCE3Mf4XAd26,63.6,17.44
FEIP98BAAYWW,SGGufQjkuu50,K0qPVGdA91KO,1589.0,32.34
qZUh5hge1625,uhU6v99z0kXK,4YvZWfI3A03T,887.0,25.85
