order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date
Ulpf9skrhjfm,g3nXeJkGI0Qw,delivered,2018-02-16 16:19:31,2018-02-17 16:15:35,2018-02-27 01:29:50,2018-03-08
bwJVWupf2keN,EOEsCQ6QlpIg,delivered,2018-08-18 18:04:29,2018-08-18 18:15:16,2018-08-27 20:03:51,2018-09-19
xNba906m4TM1,85jiDiGSfhTu,delivered,2018-04-23 21:03:00,2018-04-24 18:18:18,2018-04-25 20:14:38,2018-05-04
VEDSMTavbQwk,gDdkaN8b9s1g,delivered,2018-02-23 14:49:39,2018-02-23 15:16:13,2018-04-02 14:12:50,2018-03-15
DzNM8wrcMGFH,9Csx6oXlpLl1,delivered,2017-11-24 19:12:37,2017-11-25 04:54:03,2017-12-11 13:09:32,2017-12-14
StM5K4TLyrt5,1k71TCYNFCzj,delivered,2018-05-30 09:25:25,2018-05-30 09:35:16,2018-06-21 18:22:15,2018-07-05
HqV5f8K2UYoA,3zvaY9gUH9bO,delivered,2018-06-15 15:44:21,2018-06-15 16:00:22,2018-06-25 22:27:56,2018-07-11
XupzjrovQeez,ckZATUjYdFd3,delivered,2017-06-21 16:41:10,2017-06-22 02:45:18,2017-06-29 12:43:45,2017-07-04
gVMP1bPDg69L,GpdbWoJi61Qc,delivered,2017-12-30 02:36:20,2018-01-04 23:17:35,2018-01-23 20:28:38,2018-02-05
INolFarYfmEO,QU7yWUgfIpJX,delivered,2018-06-30 21:08:36,2018-06-30 21:30:06,2018-07-11 17:56:33,2018-08-03
LV0vJIDricq1,rgjb3WchpjHg,delivered,2017-11-05 19:14:22,2017-11-07 07:30:35,2017-11-17 20:32:53,2017-11-29
tOTdnjpI8Udp,Jw0zo2CWiEs7,delivered,2018-07-10 12:15:42,2018-07-10 12:30:21,2018-07-15 16:13:38,2018-07-18
ebR5efLCCpiq,MXiUFyGLUs2Z,delivered,2018-02-03 17:08:22,2018-02-03 17:30:03,2018-03-06 07:14:36,2018-03-13
YOKYMSjKRCMN,oiBrZODbJTvz,delivered,2018-04-10 08:42:53,2018-04-10 08:55:33,2018-04-20 10:59:02,2018-05-02
57XZHymoJ10l,mcuPjOLRkNpR,delivered,2017-09-05 13:32:39,2017-09-05 13:50:10,2017-09-13 16:54:10,2017-09-29
