customer_id,Recency,Monetary,CustomerClusterID
000hN1Tzi4iN,2568,334.34,3
001T2XiQONtX,2551,232.89,3
005aQnkeGglh,2958,280.09,0
006Qnh6UbZWp,2609,71.96,3
0075TryJTCaQ,2410,262.3,1
00MFASH6l70L,2383,203.82,1
00P9Dpsw2lUR,2620,194.11,3
00QZjnREDPiT,2376,173.98,1
00TWN4YGaiuQ,2661,333.66,0
00cPecFVQwgF,2652,318.14,0
00hGTKcjrrXE,2501,106.02,3
00hixzlyOIta,2541,40.12,3
00lsRlwaL7ZK,2289,316.42,1
00mMEB59KpxG,2603,293.95,3
00yaaYDC9HPa,2601,190.3,3
010qB1n3W5zh,2362,120.26,1
01euCOe377yq,2548,56.1,3
01fQ6nqRIOqN,2391,86.0,1
01jIO78l2WC7,2628,1391.79,2
01tZYuVHw6IY,2319,89.45,1
01yWUr5qWPJW,2710,113.76,0
0267mF10y7Ve,2734,154.34,0
02LNvaMY3tYy,2494,97.63,3
02QGqvFCc1dE,2328,332.74,1
02gl3TGkykrt,2608,326.54,3
02pfNNnQdXR5,2427,40.57,1
02s3gXJohABo,2629,184.55,0
02zmSbMUEYUZ,2344,427.23,1
03HRkz6TP3U0,2675,48.2,0
03I9VIhuBg1q,2840,203.82,0
03OTkXzKXYzx,2267,225.25,1
03QkePWXcAMb,2474,233.75,3
03RxFpPS5zwW,2702,41.04,0
03TxtFPNcJsz,2956,184.91,0
03c1VQDJluo2,2341,37.19,1
03ibekviYlUT,2544,186.42,3
03jCTcGCfGEC,2803,179.51,0
03ry0pCQsxur,2470,96.17,3
040IJlJ87jYL,2678,174.57,0
044jfooq03X2,2344,210.43,1
046irlw6tqGt,2718,213.98,0
04E5XfthSr73,2282,547.58,1
04GEHbLVDuym,2540,353.19,3
04GkjFKaTznp,2743,302.91,0
04ToBIcjcNSO,2736,305.08,0
04UVz3wjw1b3,2405,138.35,1
04W8M1bvx4YQ,2425,310.81,1
04abp9tF4nGh,2402,41.2,1
04qizmSRabIg,2307,109.44,1
04t8gIsZqxP0,2630,170.44,0
04vmCdFnI64a,2559,41.9,3
05JK7jZ5855x,2643,153.51,0
05NP9aFJujkP,2450,31.98,3
05Nr2XBXqFRd,2379,307.43,1
05VWzyAZyAAI,2321,147.47,1
05jnJ339FjYI,2691,675.77,0
05kfyw121L0G,2690,12.85,0
05luKaCBN6Lt,2823,61.52,0
05n6AC6WjGyI,2647,538.07,0
05ujn4k9SeJB,2451,645.04,3
06BPzhyLdEuL,2343,23.47,1
06BkmwVvh82F,2346,196.55,1
06RlrvrVUQ9c,2431,74.7,1
06auzjr0xkmN,2811,28.62,0
070efxcnKLam,2568,208.2,3
07KieCGRNPyz,2690,1.53,0
07Of67uuVAIF,2692,19.77,0
07UzW4pS2mUJ,2290,47.71,1
07W1VuJbL6QC,2833,1083.78,0
07Xbe7umFVIl,2296,110.89,1
087R0IissD2C,2327,40.93,1
08JaOvIybyoz,2523,154.45,3
08QEXPurRM2k,2748,1058.1,0
08Spk0InkGr8,2853,222.17,0
08akYciJqjU1,2288,222.13,1
08f4F3CmfidT,2329,337.33,1
08olkDQbvXiI,2454,217.82,3
08sGMcadXQHe,2309,0.91,1
08tUIq2ydbIv,2278,246.42,1
08vn29DFSB1Q,2457,902.03,3
08x22IiWQzix,2607,154.48,3
096E8V7t8DwP,2293,123.23,1
096aVNlhDdS0,2388,147.06,1
097o3rEjIYe7,2284,192.26,1
09LzEj6UZL9k,2607,254.24,3
09T21HrovDgT,2608,123.76,3
09XTz8GfgZGt,2297,133.41,1
09g041sBymjE,2440,658.6,3
09y8migrd59S,2644,246.87,0
0A86JhAata1X,2402,78.56,1
0AFkTATeYW75,2460,660.8,3
0AGYsKq0vE5P,2400,175.48,1
0AH2ZddjGvuL,2718,172.7,0
0ALgDNlT7WoM,2538,526.36,3
0AZ0DQqrmzJR,2349,665.59,1
0AtxzkUv22gS,2356,155.0,1
0B1PD8NzKNyn,2383,252.79,1
0B5f90azDyl7,2307,336.71,1
0BDiYnVRdcyf,2479,126.72,3
0BHnDN4PrsWf,2308,39.87,1
0BLrTCkB7EQ2,2547,323.91,3
0BVLmMpQvrXx,2349,125.06,1
0BvH7oBjjLzq,2432,94.39,1
0BvrTceSVPQn,2320,156.38,1
0CCdm1myeP8d,2812,118.44,0
0CFCYjG9mc5V,2396,91.42,1
0CMcSkZ4tCI9,2450,127.98,3
0CMkTdWh7fnK,2446,90.98,3
0CP1rCHvpkjH,2594,69.54,3
0CPJVApw8Qbs,2422,17.88,1
0CSHb1fMAkrz,2421,100.05,1
0Ca0gsDZBaxt,2555,371.54,3
0Ca49LOzqCov,2732,118.79,0
0D1LFHPkmBfF,2552,121.95,3
0D1cDoRy8XzH,2542,647.77,3
0DFhJOHGX4hm,2358,272.32,1
0DVMwShBPGh7,2435,865.38,3
0DVVojCPQCuL,2327,63.49,1
0DaJ4J8oGpRt,2271,292.63,1
0DfubfeTW0Ht,2629,239.41,0
0Di57DdeKB6f,2670,211.44,0
0DlBLHwdG0yw,2279,576.04,1
0DmF60i4D6F0,2322,423.14,1
0DtL6SMHUuiw,2311,11.64,1
0E2Zgg51hzNL,2543,81.53,3
0EPm0V2Dolex,2483,573.56,3
0EQwrWTrAilI,2592,1.47,3
0EV6twq65IyE,2711,82.01,0
0EjgFgmsAgLT,2341,198.96,1
0ErSGcI3vAFj,2280,32.06,1
0EsjuujK224b,2412,204.58,1
0FHsBfg0ZmSa,2350,220.35,1
0FIVkqxNX0q0,2643,196.49,0
0FXRwhaX2278,2292,274.06,1
0FjceZiwUUyB,2387,2314.82,2
0FxJqUYU693S,2711,444.66,0
0Fxa0kJ1M3jc,2487,289.84,3
0GJqfXYpYEht,2283,86.98,1
0GTJqNcgCWxH,2737,935.36,0
0Go5XWJdJqLC,2742,1221.39,2
0GpBqIiD9Yj7,2775,675.86,0
0GvWWGg1DGKT,2477,676.74,3
0H0p9wIlhGuf,2463,165.25,3
0H3Mp949zv2V,2614,375.43,3
0HGUsnFOneqC,2283,10.66,1
0HJXiKZse8GA,2323,175.77,1
0HkYG35sxZSS,2298,223.86,1
0I5VlmDYqEgE,2286,114.32,1
0I77U3ujAXpB,2854,46.63,0
0IKtqSy8fvwU,2410,256.09,1
0IksCqDypQJc,2326,31.15,1
0Il6jODy9Z68,2413,57.21,1
0Iur7CT2EXMt,2291,171.43,1
0Iy4Fi4QBYDr,2543,324.63,3
0IyV16tKUyoI,2399,135.56,1
0J06K3KRSYmX,2447,193.82,3
0JAiImEdJ1BR,2556,154.25,3
0JHPxmgtfYmi,2522,227.16,3
0JP6oqTK1Ik4,2521,265.92,3
0JUnTiFZi4zY,2293,272.59,1
0JVfGKeRylq7,2622,277.0,3
0JVucGatAAzp,2481,436.98,3
0JW14re4gg4G,2613,24.51,3
0JZFD2iGV8hw,2619,5.78,3
0K2k9FLQRjQQ,2296,68.37,1
0KAe2R1Mxs4I,2648,665.87,0
0KOnQEOr6Zbk,2430,593.67,1
0KWpbeNj53i3,2543,57.73,3
0KhTQLQ5B4Fy,2281,158.83,1
0KkI7B3rQs4A,2389,199.42,1
0KotGjHfObtb,2400,1757.41,2
0LDTg6nR2D3h,2516,100.59,3
0LE6e2BVyL6U,2580,158.42,3
0LHCLhIUQKJL,2594,186.42,3
0LQqhPgN4WxW,2615,38.95,3
0LVtYLWuhPLf,2319,26.38,1
0LfzNCDtgLOs,2736,145.48,0
0M1jsLTW6b5V,2607,539.88,3
0MEvb1oEvQmi,2847,159.33,0
0MHPHyrEerRS,2602,1228.03,2
0MHY2S1TpoG8,2663,541.79,0
0MOHmrZwo85k,2310,187.75,1
0MqZehtIHoUq,2432,311.92,1
0Mr1k5WVWSFZ,2331,18.0,1
0Msdk1u2VFk3,2320,237.92,1
0MyZvBTepHmM,2339,35.08,1
0N6GGSyjKloV,2447,66.18,3
0NTLKsd2xY2J,2414,113.22,1
0Ndj9V1OKCVs,2314,549.68,1
0NeEdOPngOdd,2291,101.2,1
0NfyAZtOuCIP,2526,13.14,3
0NiLBakV1fKW,2749,979.26,0
0NicTq0k5G5u,2290,148.64,1
0NlSfX3RQWYo,2549,90.79,3
0Nn8xuOt64ka,2630,210.73,0
0Nunb5aKoDGk,2494,124.2,3
0O3XBBvHTUd2,2497,99.23,3
0OSxpH9quhKa,2846,2022.02,2
0OYp6qIjjFh9,2582,140.32,3
0ObPU2y1ZmSc,2329,730.34,1
0OkynEsqjapK,2761,82.52,0
0OtDDVGJ16Am,2645,194.45,0
0OteAHlnzzQE,2283,2055.84,2
0P7dqVuRZJIV,2341,197.06,1
0PHx4SlBWi9v,2501,106.02,3
0PSvLkdll11E,2273,125.49,1
0PWO4paLssju,2273,194.02,1
0PXNy4rCS7Az,2635,217.82,0
0PqKxiuNBOgI,2490,196.9,3
0Ps83BMU8vZG,2303,215.54,1
0Pyl0ALJOxr7,2407,53.29,1
0Q7CKQtM7zHr,2425,610.96,1
0QAWN4MnX1eJ,2652,62.49,0
0QECr8F0c4HR,2282,50.78,1
0QJsMnsticAF,2309,215.85,1
0QOUCUeDnBfg,2341,105.63,1
0QTKqKnZmrqa,2576,347.76,3
0QYR3QIjZ8bo,2305,535.03,1
0QgIIKlc0wN2,2366,155.72,1
0QrPfqhUPysM,2532,127.52,3
0QsD6LYaE0dI,2749,127.37,0
0R3XMQBIRenQ,2294,640.43,1
0R5LCjJuARU8,2396,307.22,1
0R7Ab6sgCsE7,2341,667.99,1
0R7OL2WLyv5P,2327,237.92,1
0RNmhfLBaDkR,2284,148.32,1
0RT2Ad3fycO7,2286,975.05,1
0RTtLGMefYKH,2800,144.83,0
0RZPWgtB4HGB,2469,617.24,3
0RariQsqd4Wi,2305,247.62,1
0S23qJcUA4PO,2802,55.1,0
0SBU6Ju5v7ZM,2715,141.17,0
0SbrYdp1VFqL,2379,103.99,1
0ShwdFYw9sTD,2322,59.96,1
0SipX8BXjXs8,2813,9.93,0
0SmtTv9hzrkU,2535,378.88,3
0SnSFeAQdc6r,2461,157.34,3
0SspDgOUslZV,2532,83.54,3
0T7Mo8WPi934,2309,95.27,1
0T8677w7qXW4,2602,69.23,3
0TBZY029xDci,2453,29.68,3
0TDonrzIilF9,2269,558.04,1
0TL5F8TcNVrU,2344,190.64,1
0TLZisMMKGkv,2435,97.69,1
0TSMxuwn5zgJ,2637,44.91,0
0TWxYqNv0YgN,2616,38.85,3
0TgVGgssEWsF,2315,350.93,1
0TlzWrx2b8Bq,2542,328.76,3
0Ts9UTawAoxW,2351,516.66,1
0UDYIVbxARO1,2287,59.43,1
0UU8mtYGYpAZ,2385,1.08,1
0UWmHAWfhvCX,2631,158.42,0
0UZavy1OITPu,2504,135.17,3
0Ug66DIFeqix,2281,158.83,1
0UnK7pVIdIHX,2676,15.21,0
0UvDUB6eO1QQ,2333,245.77,1
0V3C4sdd2HDq,2278,89.72,1
0V89mr6aBLyz,2417,738.65,1
0V8fhksLbJgu,2372,349.87,1
0VKhHoBoFMzU,2441,804.72,3
0Vhpjg0LT4e2,2329,91.35,1
0Vn9jbI8bq1o,2418,158.07,1
0VnZV9RGfKFv,2444,173.73,3
0WDYsHzh61pe,2308,235.22,1
0WNYMwXz92Oc,2427,366.19,1
0WPFGwknJJTe,2446,202.38,3
0WUu6YPfKgB8,2559,72.95,3
0WX6TOzGLp4E,2452,94.61,3
0WYrBpWqxRLX,2466,17.92,3
0WZSqduOSNgc,2739,18.97,0
0We1kNp5Bo3k,2411,173.3,1
0X2MOKuRpHmk,2532,460.18,3
0XFivfJKwZvM,2543,416.43,3
0XIFWUqwShyn,2498,1963.97,2
0XIrrD67bLLP,2662,184.62,0
0XL185oezL4G,2497,166.86,3
0XUzXT9v2RSK,2584,234.57,3
0XZc6uw1KXbb,2288,177.49,1
0XlOgVcRt2SA,2432,26.81,1
0XqfWIN8B7uS,2308,274.69,1
0Y5B6uxGKL7k,2367,566.68,1
0Y80r6KgckNT,2615,129.19,3
0Y8ob2mVAZvS,2403,24.68,1
0YDZ9IQt3uoJ,2709,62.77,0
0YkS59rjnKHX,2679,59.26,0
0Z4jgsaZIg7X,2425,377.7,1
0Z5pETEBqzBy,2431,86.59,1
0ZC5lt2hUXPD,2687,1.53,0
0ZNOasJ3GIRV,2710,114.37,0
0ZP6nmYciTJz,2369,147.65,1
0ZRtUwdM9W67,2327,200.04,1
0ZWosmTFXHvL,2545,588.66,3
0ZjfXeP8rbud,2463,100.9,3
0Ztf1EsUbrB5,2406,56.11,1
0a2SkcmXaDJr,2542,5.99,3
0a9Qt1TXtghM,2581,414.75,3
0aIRIXZUSKlr,2569,708.28,3
0aJIlhjKHusr,2657,344.28,0
0aWAFrxudVkf,2281,158.83,1
0abhY9vj9pTN,2284,293.85,1
0aoCXQFD7Fn0,2411,122.08,1
0axj9yT7PDW2,2448,107.27,3
0b1kTjqi8dA9,2646,96.53,0
0bJprnzAM8lQ,2530,1426.81,2
0bWCV5cznr8p,2422,213.98,1
0baJlSFtxSQ8,2573,545.24,3
0bbhSp6NffGP,2410,128.61,1
0bbm8b9Pp9Xn,2533,154.45,3
0beGUXquOiGY,2817,999.68,0
0btYoCIJcO4h,2299,119.19,1
0bz7Tj1B4aQW,2543,72.95,3
0c3oe7iynvZ3,2386,423.85,1
0cCmH3zwxrlS,2431,52.42,1
0cG5K0XaVbpV,2487,88.93,3
0cInp3FR5HBs,2405,376.0,1
0cKOCdSlOThe,2415,55.54,1
0cTlrQLYwozv,2372,370.6,1
0cX0PvGduR0i,2431,198.47,1
0coUU8bWb9AS,2662,81.49,0
0cqVlmNsiF0s,2414,75.52,1
0cxK11UGKYyF,2417,114.75,1
0d12zEcMcjf1,2527,451.76,3
0d3TgD90FHGi,2620,176.66,3
0d8t5WzPNyI8,2659,30.59,0
0dP1RSBypl8a,2353,27.42,1
0dQHhQNkFi9e,2728,559.26,0
0dabH3hb5q6z,2387,42.17,1
0dnb07hrVeik,2732,331.4,0
0ds19wnPYsjn,2677,167.87,0
0e6fc58jUdxJ,2277,49.44,1
0e7L8C5Kb01H,2746,172.29,0
0eHXFTWInG2u,2475,7.69,3
0eI6jAnXersS,2437,125.39,1
0eJN2EpeNpcn,2502,514.6,3
0eOcrXmm6WA4,2293,75.65,1
0egZoZWDpuef,2543,144.95,3
0ejW0QuqxmbY,2518,161.31,3
0exJ78j74MHZ,2572,206.65,3
0eyxYTN6wTZO,2498,10.5,3
0f7t3Z6BhpAK,2369,90.5,1
0f7xH51az2Gl,2788,342.12,0
0fMv9f8XjyIu,2522,160.18,3
0fPqK9CHkVeZ,2858,146.77,0
0fYfPl5MNcmZ,2378,116.5,1
0fd7zscS4blZ,2330,116.51,1
0fkOXMZsfAIu,2652,35.31,0
0fnsNO2DI474,2299,187.02,1
0fsBkGgyeNVB,2314,1311.46,2
0fvOpBm9CCpP,2280,225.03,1
0fvYZF65NbAK,2519,88.31,3
0g1oi1estdc2,2480,3.02,3
0gDnBXPLJiRv,2549,215.66,3
0gFoidpue5yn,2307,133.57,1
0gG6arzyy8iX,2305,18.25,1
0gIEjuBuogLX,2528,252.34,3
0gPenIi7Gt2e,2848,67.12,0
0gPlZwr0RhV6,2304,9.1,1
0gRsaNw4lQJ4,2802,41.42,0
0gS66UrZdxYA,2489,2158.57,2
0gZcCScPDeRV,2524,152.11,3
0gegfLsAKcbc,2761,99.06,0
0ghazbOFPGa8,2313,206.49,1
0gpvYZ1WRIp4,2335,215.47,1
0gxtxdZdcM9E,2477,4.86,3
0gzpLQdU7YrZ,2386,618.07,1
0h1VPixTYkZl,2375,57.78,1
0h1yt6SLP8jS,2594,665.87,3
0h7XF2VCKLJ6,2753,154.22,0
0hDmnpaNTyVT,2639,66.2,0
0hFhV4DVOvwZ,2301,87.57,1
0hJdeh2XMDBv,2543,379.11,3
0hPr121dLOzs,2738,269.12,0
0hUpLD0THP8b,2617,246.87,3
0hpE25oHR92O,2514,239.54,3
0hvU8SntYvqF,2766,87.57,0
0i3rQr5TMsQj,2325,61.31,1
0i7YTfyW70rv,2723,190.25,0
0iIMsAWr1P0F,2555,5.78,3
0im8g3CLI1gk,2445,365.61,3
0isrX3SLHlr8,2684,205.28,0
0j2snilwo0Bj,2391,110.29,1
0j4dEbIOppZb,2419,170.62,1
0jJLpQPXl8bp,2273,58.11,1
0jLruoeueE3s,2482,115.01,3
0jRs49WlX0gn,2504,0.61,3
0jeb4N42q313,2342,857.79,1
0jgEzaYHFrty,2580,57.43,3
0jlEYVCBuq78,2561,248.85,3
0js6Vw1k7mgA,2365,344.93,1
0juE9XmEicBN,2649,189.6,0
0k6GSP05dquZ,2552,362.56,3
0kDq3U2NstXY,2326,4.7,1
