year,week_of_year,city_rank,category_rank,quantity,price,ProductSeasonalPriority,ProductSalesPriority,delivery_delay,is_holiday_season,product_weight_g,product_length_cm,product_height_cm,product_width_cm
2016,35,307,1.0,2,447.53499999999997,2.5,4.0,298.0,0.0,1600.0,32.0,6.0,28.0
2016,36,135,1.0,1,49.49,4.0,4.0,290.0,0.0,700.0,25.0,2.0,25.0
2016,39,1,1.0,4,45.9,4.0,4.0,293.0,0.0,500.0,18.0,18.0,18.0
2016,40,1,1.0,933,325.96935483870965,3.6774193548387095,2.193548387096774,-59.83870967741935,0.0,1925.8709677419354,37.16129032258065,18.612903225806452,24.451612903225808
2016,40,1,2.0,111,416.49333333333334,3.6666666666666665,1.0,-68.33333333333333,0.0,578.6666666666666,19.0,12.333333333333334,16.0
2016,40,1,4.0,7,80.0,4.0,1.0,-46.0,0.0,476.0,17.0,14.0,14.0
2016,40,1,7.0,8,28.82,4.0,4.0,-107.5,0.0,1700.0,16.0,17.0,17.0
2016,40,1,9.0,2,31.6,4.0,1.0,255.0,0.0,300.0,13.0,8.0,10.0
2016,40,1,11.0,11,111.27,4.0,4.0,-32.0,0.0,400.0,16.0,7.0,12.0
2016,40,1,13.0,68,692.0,3.0,4.0,-46.0,0.0,100.0,20.0,15.0,15.0
2016,40,1,14.0,8,51.5,4.0,1.0,-46.0,0.0,600.0,70.0,11.0,11.0
2016,40,1,29.0,4,46.2,4.0,1.0,-20.0,0.0,250.0,18.0,8.0,18.0
2016,40,1,34.0,10,119.94,4.0,1.0,248.0,0.0,1900.0,30.0,6.0,30.0
2016,40,2,1.0,889,294.7542424242424,3.303030303030303,3.515151515151515,-53.878787878787875,0.0,1520.5757575757575,25.515151515151516,23.696969696969695,24.303030303030305
2016,40,2,2.0,65,367.605,2.5,4.0,257.5,0.0,10700.0,55.0,40.0,20.0
2016,40,2,3.0,67,692.0,3.0,4.0,-34.0,0.0,400.0,57.0,4.0,28.0
2016,40,2,4.0,7,80.0,4.0,1.0,-128.0,0.0,476.0,17.0,14.0,14.0
2016,40,2,5.0,122,692.0,1.0,4.0,-128.0,0.0,800.0,68.0,8.0,13.0
2016,40,2,13.0,135,241.85,2.0,3.0,-66.0,0.0,705.0,30.0,13.5,19.0
2016,40,2,27.0,62,699.99,4.0,1.0,-42.0,0.0,300.0,16.0,9.0,11.0
2016,40,2,70.0,1,18.42,4.0,1.0,-24.0,0.0,700.0,35.0,7.0,29.0
2016,40,3,1.0,302,362.0755555555555,3.888888888888889,2.6666666666666665,-74.11111111111111,0.0,1898.2222222222222,27.22222222222222,22.333333333333332,24.0
2016,40,3,13.0,6,79.8,1.0,2.0,-42.0,0.0,610.0,22.0,14.0,16.0
2016,40,3,14.0,7,72.4,4.0,4.0,258.0,0.0,2050.0,33.0,13.0,29.0
2016,40,4,1.0,613,1135.7833333333333,3.3333333333333335,2.5,-73.33333333333333,0.0,2969.0,28.333333333333332,20.5,25.666666666666668
2016,40,5,1.0,329,380.57,2.1,4.0,-79.2,0.0,1260.0,49.5,7.9,19.1
2016,40,5,5.0,4,48.65,4.0,4.0,-35.0,0.0,600.0,23.0,7.0,16.0
2016,40,6,1.0,39,115.655,4.0,2.5,159.75,0.0,1925.25,30.0,19.0,19.25
2016,40,6,13.0,6,79.8,1.0,2.0,250.0,0.0,610.0,22.0,14.0,16.0
2016,40,7,1.0,108,167.74,3.625,2.875,-14.5,0.0,502.25,25.5,20.25,31.75
2016,40,7,5.0,3,35.98,4.0,4.0,-128.0,0.0,1200.0,16.0,34.0,34.0
2016,40,10,2.0,37,509.99,3.0,1.0,-42.0,0.0,1029.0,20.0,15.0,17.0
2016,40,10,14.0,37,419.9,4.0,4.0,-43.0,0.0,400.0,29.0,12.0,23.0
2016,40,11,1.0,14,169.99,4.0,4.0,-32.0,0.0,418.0,19.0,14.0,16.0
2016,40,12,1.0,93,1259.0,4.0,1.0,-128.0,0.0,3600.0,20.0,30.0,20.0
2016,40,13,1.0,7,100.0,4.0,1.0,-52.0,0.0,300.0,17.0,9.0,16.0
